"name","lon","lat"
"23810056",-121.944846609406,45.1348230462427
"Sam Creek",-121.97355580214,45.0761430398244
"Kelley Creek",-121.963774665994,45.069768907091
"Devils Spring Creek",-121.893926654966,45.0695539140989
"23810162",-121.966139591264,45.0275824376434
"23810164",-121.973784792235,45.0264345034733
"Switch Creek",-122.016159198047,45.0222540323004
"23810176",-121.992407993778,45.0195259011872
"Wolf Creek",-121.898290443658,45.009492443357
"23810212",-121.920270848343,45.0156527081921
"23810218",-121.996672855958,44.9936662325331
"23810226",-122.023361194536,44.9989922968437
"23810234",-121.903623038961,44.9816905078019
"Bonner Creek",-121.881970635693,44.9823881100135
"23810288",-122.030645850445,44.9391660258386
"23810290",-121.855144559416,44.955276644382
"23810296",-122.0016009815,44.9506060961049
"23810302",-122.019094646648,44.9291450263894
"Blitzen Creek",-122.016622578696,44.9246130263626
"Dunno Creek",-122.007467174429,44.9103188930799
"Pan Creek",-121.901937577743,45.0103885097122
"Peat Creek",-122.035719657599,44.9711750939282
"Peat Creek",-122.044089590969,44.9647700927034
"Kelley Creek",-121.962714666551,45.0733848407486
